"리드텍  쿼드로 K620 D3 2GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe2.0x16,GDDR3(DDR3),2GB,128-bit,,1개,,O,,,,,,,,160 mm,20 mm,최대 45W,222170,http://timg.danawa.com/prod_img/500000/814/839/img/2839814_1.jpg"
"갤럭시 GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP,갤럭시,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,,,,,,162 mm,22 mm,최대 30W,91000,http://timg.danawa.com/prod_img/500000/631/150/img/5150631_1.jpg"
"GIGABYTE  지포스 GTX1050 G1.Gaming D5 2GB,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,3개,1개,,O,O,,O,,,,히트파이프+쿨러,219 mm,40 mm,,180120,http://timg.danawa.com/prod_img/500000/057/587/img/4587057_1.jpg"
"갤럭시 GALAX 지포스 GT710 D3 1GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,158 mm,18 mm,,39880,http://timg.danawa.com/prod_img/500000/148/745/img/3745148_1.jpg"
"GIGABYTE  지포스 GT730 UD2 D3 2GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x16,GDDR3(DDR3),2GB,128-bit,1개,,,,,,,,,,방열판+쿨러,170 mm,27 mm,,78270,http://timg.danawa.com/prod_img/500000/777/671/img/2671777_1.jpg"
"MSI  지포스 GTX1050 D5 2GB LP 윈드스톰 귀요미,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,182 mm,35 mm,최대 75W,146000,http://timg.danawa.com/prod_img/500000/357/869/img/4869357_1.jpg"
"SAPPHIRE  라데온 RX 460 OC D5 2GB Single Fan,SAPPHIRE,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,216 mm,38 mm,최대 75W,123300,http://timg.danawa.com/prod_img/500000/581/960/img/4960581_1.jpg"
"GIGABYTE  지포스 GTX1050 UDV D5 2GB 윈드포스,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,3개,1개,,O,O,,O,,,,히트파이프+쿨러,229 mm,40 mm,,176910,http://timg.danawa.com/prod_img/500000/061/587/img/4587061_1.jpg"
"리드텍  쿼드로 M2000 D5 4GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),4GB,128-bit,,4개,,,O,,,,,,방열판+쿨러,168 mm,20 mm,최대 75W,639430,http://timg.danawa.com/prod_img/500000/238/054/img/4054238_1.jpg"
"GIGABYTE  지포스 G210 D3 1GB Silent 0dB,GIGABYTE,NVIDIA,지포스 G2xx,PCIe2.0x16,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판,145 mm,18 mm,최대 30.5W,38810,http://timg.danawa.com/prod_img/500000/619/528/img/1528619_1.jpg"
"ZOTAC  지포스 GTX1050 OC DUALSILENCER D5 2GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,,,O,,,,히트파이프,174 mm,,최대 75W,167200,http://timg.danawa.com/prod_img/500000/645/720/img/4720645_1.jpg"
