"인텔 코어i7-6세대 6700K (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.0 GHz,14nm,91 W,윈도우 7 가상화,인텔 HD 530,464770,http://timg.danawa.com/prod_img/500000/502/353/img/3353502_1.jpg"
"인텔 코어i5-6세대 6600 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530,272100,http://timg.danawa.com/prod_img/500000/647/403/img/3403647_1.jpg"
"인텔 코어i3-6세대 6100 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.7 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530,147050,http://timg.danawa.com/prod_img/500000/180/464/img/3464180_1.jpg"
"인텔 코어i7-6세대 6700 (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530,404280,http://timg.danawa.com/prod_img/500000/648/403/img/3403648_1.jpg"
"AMD A8 7600 (카베리)(정품),AMD,AMD(카베리-A8),AMD(소켓FM2+),64(32) 비트,쿼드 코어,쓰레드 4개,3.1 GHz,28nm,65 W,,AMD R7 시리즈,93230,http://timg.danawa.com/prod_img/500000/042/739/img/2739042_1.jpg"
"인텔 제온 E3-1230V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,80 W,,,363500,http://timg.danawa.com/prod_img/500000/079/589/img/3589079_1.jpg"
"인텔 코어i5-4세대 4690 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.5 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600,304470,http://timg.danawa.com/prod_img/500000/081/599/img/2599081_1.jpg"
"인텔 코어i3-7세대 7350K (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.2 GHz,14nm,60 W,,인텔 HD 630,202760,http://timg.danawa.com/prod_img/500000/955/134/img/5134955_1.jpg"
"AMD A10 7870K (고다바리)(정품),AMD,AMD(고다바리-A10),AMD(소켓FM2+),64 비트,쿼드 코어,쓰레드 4개,3.9 GHz,28nm,95 W,윈도우 7 가상화,AMD R7 시리즈,171390,http://timg.danawa.com/prod_img/500000/784/202/img/3202784_1.jpg"
"인텔 코어i5-6세대 6400 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,2.7 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530,235020,http://timg.danawa.com/prod_img/500000/500/440/img/3440500_1.jpg"
