"스파클텍  GPT500S 85+,스파클텍,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,35000,http://timg.danawa.com/prod_img/500000/909/058/img/4058909_1.jpg"
"topower  TOP-500D 80PLUS BRONZE POP,topower,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,52000,http://timg.danawa.com/prod_img/500000/261/016/img/3016261_1.jpg"
"REX COOL  LV5 500,REX COOL,ATX 파워,,표기 500W,20핀+4핀,120mm 팬,,,O,,,,16910,http://timg.danawa.com/prod_img/500000/353/660/img/3660353_1.jpg"
"SuperFlower  SF-600R14SE Silver Green FX,SuperFlower,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,O,83000,http://timg.danawa.com/prod_img/500000/157/750/img/2750157_1.jpg"
"마이크로닉스  Cyclone II SE 350W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 350W,표기 350W,20핀+4핀,120mm 팬,O,,,,,,28500,http://timg.danawa.com/prod_img/500000/846/685/img/2685846_1.jpg"
"잘만  ZM600-LEII,잘만,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,,45000,http://timg.danawa.com/prod_img/500000/361/879/img/3879361_1.jpg"
"Antec  NeoECO NE550C 80PLUS BRONZE,Antec,ATX 파워,정격 550W,,20핀+4핀,120mm 팬,O,,,O,,O,56200,http://timg.danawa.com/prod_img/500000/268/129/img/5129268_1.jpg"
"GIGABYTE  PW400 80PLUS WHITE 유체베어링,GIGABYTE,ATX 파워,정격 400W,,20핀+4핀,120mm 팬,O,,,,,O,41000,http://timg.danawa.com/prod_img/500000/778/025/img/5025778_1.jpg"
"맥스엘리트  MAXWELL 600W 3.3V DC to DC FOR DDR4,맥스엘리트,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,,43000,http://timg.danawa.com/prod_img/500000/831/133/img/4133831_1.jpg"
"ANDYSON  VENUS 600W +12V Single Rail,ANDYSON,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,,,,51400,http://timg.danawa.com/prod_img/500000/417/966/img/4966417_1.jpg"
"COOLMAX  FOCUS 500W 80Plus 230V EU,COOLMAX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,O,38000,http://timg.danawa.com/prod_img/500000/037/712/img/4712037_1.jpg"
"EPITECH ENERGY OPTIMUS Mach III 600K v2.3,EPITECH,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,,34400,http://timg.danawa.com/prod_img/500000/023/188/img/3188023_1.jpg"
"SuperFlower  SF-500R12A NOVA 80PLUS,SuperFlower,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,O,45500,http://timg.danawa.com/prod_img/500000/750/220/img/5220750_1.jpg"
"ANDYSON  JUPITER 500W BLUE LED +12V Single Rail 모듈러,ANDYSON,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,,53500,http://timg.danawa.com/prod_img/500000/006/969/img/4969006_1.jpg"
"맥스엘리트  MAXWELL 500W 3.3V DC to DC FOR DDR4,맥스엘리트,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,38000,http://timg.danawa.com/prod_img/500000/826/133/img/4133826_1.jpg"
"맥스엘리트  MAXWELL 400W 3.3V DC to DC FOR DDR4,맥스엘리트,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,,,,33000,http://timg.danawa.com/prod_img/500000/825/133/img/4133825_1.jpg"
"topower  TOP-600D 80PLUS BRONZE POP,topower,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O,69000,http://timg.danawa.com/prod_img/500000/721/505/img/3505721_1.jpg"
"ANDYSON  MARS 550W BRONZE 모듈러,ANDYSON,ATX 파워,정격 550W,,20핀+4핀,120mm 팬,O,,,O,,O,70500,http://timg.danawa.com/prod_img/500000/282/966/img/4966282_1.jpg"
"시소닉  M12II-620 EVO 80PLUS 브론즈,시소닉,ATX 파워,정격 620W,표기 620W,20핀+4핀,120mm 팬,O,,,O,,O,122330,http://timg.danawa.com/prod_img/500000/022/619/img/2619022_1.jpg"
"EPITECH ENERGY OPTIMUS PRIME K500,EPITECH,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,31500,http://timg.danawa.com/prod_img/500000/025/236/img/3236025_1.jpg"
"맥스엘리트  MAXWELL GAMING 500W 85PLUS,맥스엘리트,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,,33900,http://timg.danawa.com/prod_img/500000/446/809/img/4809446_1.jpg"
"델타  GPS-650JB 80 PLUS BRONZE,델타,ATX 파워,정격 650W,,20핀+4핀,120mm 팬,O,,,O,,O,84000,http://timg.danawa.com/prod_img/500000/601/165/img/5165601_1.jpg"
"델타  GPS-550LB 80 PLUS BRONZE,델타,ATX 파워,정격 550W,,20핀+4핀,120mm 팬,O,,,O,,O,69500,http://timg.danawa.com/prod_img/500000/571/165/img/5165571_1.jpg"
"FSP  Hydro 600W 80PLUS BRONZE 230V EU,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,O,79000,http://timg.danawa.com/prod_img/500000/655/981/img/3981655_1.jpg"
"엑슬비젼  BYSUO 파워맨 500SE KC 벌크,엑슬비젼,ATX 파워,정격 230W,표기 500W,20핀+4핀,120mm 팬,O,,,,,,16620,http://timg.danawa.com/prod_img/500000/928/089/img/3089928_1.jpg"
"POWEREX  LEGEND 500W GOLD,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,58000,http://timg.danawa.com/prod_img/500000/153/538/img/3538153_1.jpg"
"잘만  ZM700-GVM 700W 80 PLUS BRONZE,잘만,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,O,97000,http://timg.danawa.com/prod_img/500000/965/606/img/3606965_1.jpg"
"POWEREX  바쿠나 500W,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,36500,http://timg.danawa.com/prod_img/500000/588/105/img/2105588_1.jpg"
"iGuju  ELPIS SP-500EL,iGuju,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,,34500,http://timg.danawa.com/prod_img/500000/603/762/img/3762603_1.jpg"
"마이크로닉스  Cyclone II 600W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,,47500,http://timg.danawa.com/prod_img/500000/476/347/img/2347476_1.jpg"
"잘만  ZM1200-EBT 80PLUS GOLD,잘만,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,135mm 팬,O,O,,O,,O,255000,http://timg.danawa.com/prod_img/500000/502/211/img/4211502_1.jpg"
"GIGABYTE  PB500 80PLUS BRONZE 유체베어링,GIGABYTE,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O,51460,http://timg.danawa.com/prod_img/500000/833/025/img/5025833_1.jpg"
"POWEREX  REX III 600W Edge +12V Single Rail,POWEREX,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,O,,,46000,http://timg.danawa.com/prod_img/500000/085/986/img/4986085_1.jpg"
"마이크로닉스  Cyclone II 500W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,39900,http://timg.danawa.com/prod_img/500000/470/347/img/2347470_1.jpg"
"SuperFlower  SF-1000F14MP LEADEX PLATINUM,SuperFlower,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,140mm,O,O,,O,,O,289480,http://timg.danawa.com/prod_img/500000/144/098/img/2098144_1.jpg"
"FSP  Hydro G 850W,FSP,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O,189000,http://timg.danawa.com/prod_img/500000/670/786/img/3786670_1.jpg"
"POWEREX  LEGEND Modular 800W 80Plus 브론즈,POWEREX,ATX 파워,정격 800W,표기 800W,20핀+4핀,120mm 팬,O,,,O,,O,122000,http://timg.danawa.com/prod_img/500000/849/547/img/1547849_1.jpg"
"AONE  STORM 500LF 더블포워드 V2.3,AONE,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,,30000,http://timg.danawa.com/prod_img/500000/762/801/img/4801762_1.jpg"
"Antec  VP500P V2 A-PFC 88퍼센트,Antec,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,50390,http://timg.danawa.com/prod_img/500000/647/529/img/2529647_1.jpg"
"마이크로닉스  Cyclone II 400W +12V Single Rail 83+,마이크로닉스,ATX 파워,정격 400W,표기 400W,20핀+4핀,120mm 팬,O,,,O,,,34400,http://timg.danawa.com/prod_img/500000/465/347/img/2347465_1.jpg"
"스카이디지탈  파워스테이션2 PS2-500CR 82퍼센트 ActivePFC v2.31,스카이디지탈,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,37500,http://timg.danawa.com/prod_img/500000/309/595/img/1595309_1.jpg"
"마이크로닉스  Strike X LED Series 750W 85plus Modular,마이크로닉스,ATX 파워,정격 750W,표기 750W,24핀 전용,135mm 팬,O,,,,,,98900,http://timg.danawa.com/prod_img/500000/235/775/img/2775235_1.jpg"
"마이크로닉스  CASLON 500W After Cooling 87+ FDB,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,O,O,,,59500,http://timg.danawa.com/prod_img/500000/885/456/img/3456885_1.jpg"
"FSP  Hydro G 650W,FSP,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O,146000,http://timg.danawa.com/prod_img/500000/627/786/img/3786627_1.jpg"
"topower  TOP-500D 80PLUS Bronze,topower,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,57900,http://timg.danawa.com/prod_img/500000/789/545/img/1545789_1.jpg"
