"아이구주  M1 타이푼 RING LED & 강화유리,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,,36500,http://timg.danawa.com/prod_img/500000/963/932/img/4932963_1.jpg"
"대양케이스  CARMEN USB 3.0 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원,39000,http://timg.danawa.com/prod_img/500000/214/151/img/5151214_1.jpg"
"COX  A3 왈츠 USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,365 mm,CPU쿨러: 158mm,2열 수랭쿨러 지원,29500,http://timg.danawa.com/prod_img/500000/420/875/img/4875420_1.jpg"
"대양케이스  LOCKON USB 3.0 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,,19500,http://timg.danawa.com/prod_img/500000/620/767/img/4767620_1.jpg"
"3RSYS  L530 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,,62000,http://timg.danawa.com/prod_img/500000/536/742/img/4742536_1.jpg"
"COX  RC 170T USB3.0,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 340 mm,CPU쿨러: 최대 150mm,,12000,http://timg.danawa.com/prod_img/500000/794/049/img/4049794_1.jpg"
"COX  A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원,49500,http://timg.danawa.com/prod_img/500000/371/040/img/5040371_1.jpg"
"마이크로닉스  Frontier H300 블랙,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 156mm,,26000,http://timg.danawa.com/prod_img/500000/643/017/img/4017643_1.jpg"
"ABKO  NCORE 팝,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,,8800,http://timg.danawa.com/prod_img/500000/064/564/img/3564064_1.jpg"
"대양케이스  Moonlight 화이트 Red LED,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원,44000,http://timg.danawa.com/prod_img/500000/555/089/img/4089555_1.jpg"
"ABKO  SUITMASTER 701S USB3.0 강화유리 블랙,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원,82000,http://timg.danawa.com/prod_img/500000/625/733/img/4733625_1.jpg"
