"WD  Blue SSD(500GB),WD,내장형,2.5형(6.4cm),SATA3 (6Gb/s),500GB,,,,,최대 525MB/s,최대 545MB/s,,,,,,,,202670,http://timg.danawa.com/prod_img/500000/334/595/img/4595334_1.jpg"
"타무즈  RX550(256GB),타무즈,내장형,2.5형(6.4cm),SATA3 (6Gb/s),256GB,TLC(기타),3D낸드,,실리콘모션 SM2258,최대 510MB/s,최대 560MB/s,,,,,,,,108380,http://timg.danawa.com/prod_img/500000/010/899/img/4899010_1.jpg"
"ESSENCORE KLEVV NEO N600(240GB),ESSENCORE,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(기타),2D낸드,16 nm,실리콘모션 SM2256,최대 510MB/s,최대 560MB/s,,,,,,,,105670,http://timg.danawa.com/prod_img/500000/967/006/img/5006967_1.jpg"
"삼성전자  850 PRO(512GB),삼성전자,내장형,2.5형(6.4cm),SATA3(6Gb/s),512GB,MLC(토글),3D낸드,,삼성 3-CORE MEX,최대 520MB/s,최대 550MB/s,,,,,,,,340310,http://timg.danawa.com/prod_img/500000/810/757/img/2757810_1.jpg"
"PALIT  GFS-SSD(240GB),PALIT,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,MLC(기타),3D낸드,,파이슨 S3111-S11,최대 480MB/s,최대 560MB/s,,,,,,,,109460,http://timg.danawa.com/prod_img/500000/833/004/img/5004833_1.jpg"
"마이크론 Crucial MX300 M.2 2280 대원CTS(525GB),마이크론,내장형,M.2 (2280),SATA3 (6Gb/s),525GB,TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,,202950,http://timg.danawa.com/prod_img/500000/961/441/img/4441961_1.jpg"
"ESSENCORE KLEVV NEO N600(120GB),ESSENCORE,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(기타),2D낸드,16 nm,실리콘모션 SM2256,최대 370MB/s,최대 560MB/s,,,,,,,,66110,http://timg.danawa.com/prod_img/500000/951/006/img/5006951_1.jpg"
"타무즈  RX550(128GB),타무즈,내장형,2.5형(6.4cm),SATA3 (6Gb/s),128GB,TLC(기타),3D낸드,,실리콘모션 SM2258,최대 460MB/s,최대 560MB/s,,,,,,,,67190,http://timg.danawa.com/prod_img/500000/890/994/img/4994890_1.jpg"
"라온티앤아이  RX630(128GB),라온티앤아이,내장형,2.5형(6.4cm),SATA3 (6Gb/s),128GB,MLC(토글),,,실리콘모션 2246,170MB/s,520MB/s,,,,,,,,63260,http://timg.danawa.com/prod_img/500000/733/039/img/4039733_1.jpg"
"마이크론 Crucial MX300 대원CTS(1TB),마이크론,내장형,2.5형(6.4cm),SATA3 (6Gb/s),1TB,TLC(기타),3D낸드,,마벨 88SS1074,최대 510MB/s,최대 530MB/s,,,,,,,,380410,http://timg.danawa.com/prod_img/500000/523/286/img/4286523_1.jpg"
"ADATA  Ultimate SU700(120GB),ADATA,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(기타),3D낸드,,Maxiotek,최대 320MB/s,최대 560MB/s,,O,,,,,,70760,http://timg.danawa.com/prod_img/500000/997/110/img/5110997_1.jpg"
"WD  Blue SSD(1TB),WD,내장형,2.5형(6.4cm),SATA3 (6Gb/s),1TB,,,,,최대 525MB/s,최대 545MB/s,,,,,,,,396660,http://timg.danawa.com/prod_img/500000/325/595/img/4595325_1.jpg"
"ADATA  Ultimate SU800(128GB),ADATA,내장형,2.5형(6.4cm),SATA3 (6Gb/s),128GB,TLC(기타),3D낸드,,실리콘모션 SM2258,최대 300MB/s,최대 550MB/s,,,,,,,,71300,http://timg.danawa.com/prod_img/500000/948/401/img/4401948_1.jpg"
"타무즈  M720 M.2 2280(512GB),타무즈,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),512GB,MLC(토글),2D낸드,15 nm,파이슨 PS5007-E7,최대 1450MB/s,최대 2750MB/s,,,,,,,,305560,http://timg.danawa.com/prod_img/500000/040/936/img/4936040_1.jpg"
"WD  Green M.2 2280(120GB),WD,내장형,M.2 (2280),SATA3 (6Gb/s),120GB,확인 요망,,,,최대 430MB/s,최대 540MB/s,,,,,,,,70450,http://timg.danawa.com/prod_img/500000/835/800/img/4800835_1.jpg"
"삼성전자  750 EVO(250GB),삼성전자,내장형,2.5형(6.4cm),SATA3 (6Gb/s),250GB,TLC 기반,,16 nm,삼성,최대 520MB/s,최대 540MB/s,,O,,,,,,128660,http://timg.danawa.com/prod_img/500000/887/812/img/3812887_1.jpg"
"WD  Black M.2 2280(512GB),WD,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),512GB,,,,,최대 800MB/s,최대 2050MB/s,,,,,,,,281780,http://timg.danawa.com/prod_img/500000/994/903/img/4903994_1.jpg"
"BIOSTAR  S100 Series(240GB),BIOSTAR,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(기타),3D낸드,,마벨 1120,430MB/s,550MB/s,,,,,,,,104000,http://timg.danawa.com/prod_img/500000/561/832/img/4832561_1.jpg"
"WD  Blue M.2 2280(250GB),WD,내장형,M.2 (2280),SATA3 (6Gb/s),250GB,확인 요망,,,,최대 500MB/s,최대 540MB/s,,,,,,,,122470,http://timg.danawa.com/prod_img/500000/800/800/img/4800800_1.jpg"
"ADATA  XPG SX8000 M.2 2280(128GB),ADATA,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),128GB,MLC(기타),3D낸드,,실리콘모션 SMI2260,최대 550MB/s,최대 1000MB/s,,,,,,,,99000,http://timg.danawa.com/prod_img/500000/510/809/img/4809510_1.jpg"
"AVEXIR  E100(120GB),AVEXIR,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),,15 nm,도시바,최대 370MB/s,최대 550MB/s,,,,,,,,66540,http://timg.danawa.com/prod_img/500000/127/602/img/4602127_1.jpg"
"BIOSTAR  S100 Series(120GB),BIOSTAR,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(기타),3D낸드,,마벨 1120,300MB/s,460MB/s,,,,,,,,65030,http://timg.danawa.com/prod_img/500000/566/832/img/4832566_1.jpg"
"Plextor  M8PeGN M.2 2280(256GB),Plextor,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),256GB,MLC(토글),,15 nm,마벨 88SS1093,최대 900MB/s,최대 2000MB/s,,,,,,,,173400,http://timg.danawa.com/prod_img/500000/796/346/img/4346796_1.jpg"
"Lite-On  MU3(120GB),Lite-On,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),,,파이슨 S11,최대 460MB/s,최대 555MB/s,,,,,,,,66650,http://timg.danawa.com/prod_img/500000/076/284/img/4284076_1.jpg"
"TeamGroup  L7 EVO(240GB),TeamGroup,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(토글),,,마벨 88NV1120,최대 370MB/s,최대 530MB/s,,,,,,,,105130,http://timg.danawa.com/prod_img/500000/349/445/img/4445349_1.jpg"
"타무즈  RX540(128GB),타무즈,내장형,2.5형(6.4cm),,128GB,TLC(토글),3D낸드,,JMicron,350MB/s,560MB/s,,O,,,,,,64870,http://timg.danawa.com/prod_img/500000/565/882/img/4882565_1.jpg"
